term,papers,category,secondary,model,prompt_sha,created_at
waste valorization,2430,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619853+00:00
sustainable development,1712,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619917+00:00
circular economy,1699,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619923+00:00
material recovery,1487,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619928+00:00
resource efficiency,796,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619932+00:00
value creation,726,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619937+00:00
improve mechanical properties,478,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619942+00:00
identify research trends,389,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619946+00:00
measure circularity,351,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619950+00:00
improve efficiency,182,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619954+00:00
identify challenges,179,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619959+00:00
identify barriers,172,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619963+00:00
energy recovery,134,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619968+00:00
reduce carbon footprint,122,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619972+00:00
ce implementation,118,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619976+00:00
resource reuse,114,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619981+00:00
environmental protection,104,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619985+00:00
environmental performance,96,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619989+00:00
metal recovery,91,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619994+00:00
sustainable production,89,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.619998+00:00
nutrient recovery,86,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620002+00:00
competitive advantage,77,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620006+00:00
climate change mitigation,74,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620011+00:00
impact assessment,71,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620015+00:00
reduce plastic waste,66,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620019+00:00
economic development,63,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620024+00:00
sustainable management,62,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620028+00:00
greenhouse gas emissions reduction,62,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620032+00:00
resource conservation,59,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620036+00:00
ce adoption,54,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620040+00:00
biogas production,53,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620045+00:00
efficiency evaluation,53,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620049+00:00
decarbonization,44,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620053+00:00
ghg emissions reduction,43,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620058+00:00
economic growth,41,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620061+00:00
evaluate development level,41,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620065+00:00
cost reduction,39,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620068+00:00
stakeholder engagement,38,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620072+00:00
energy savings,37,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620075+00:00
eco-efficiency evaluation,37,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:09.620079+00:00
zero waste,34,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.626935+00:00
facilitate transition,32,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627264+00:00
carbon neutrality,31,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627272+00:00
harmonious development,31,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627281+00:00
identify trends,31,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627286+00:00
valorization,31,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627290+00:00
increase awareness,31,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627294+00:00
hydrogen production,30,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627299+00:00
