kind,term,papers,freq_stratum,human_category,human_notes
objective,reduction recovery and reuse,1,mid,material_technical,
technique,melt blending injection molding,1,tail,material_process_or_technology,
objective,circular information disclosure,1,mid,governance_institutional,
objective,therapeutic value,1,mid,social_behavioral_educational,
objective,target policy instruments,1,head,governance_institutional,
objective,inform sustainability trade-off literature,1,head,methodological_knowledge,
objective,equilibrium between economic development and ecological protection,1,mid,general_cross_domain,
objective,address housing crisis,1,tail,social_behavioral_educational,
technique,regional development management,1,head,systemic_or_organizational_practice,
objective,asset management,1,head,economic_business,
objective,global sustainability goals,1,mid,general_cross_domain,
objective,reduce informational asymmetries,1,tail,economic_business,
objective,support implementation,3,head,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
technique,zero-waste supply chain,1,mid,systemic_or_organizational_practice,
objective,waste-to-resource conversion,1,tail,material_technical,
technique,mine recycle economy modes,1,tail,systemic_or_organizational_practice,
objective,integrate ce and industry 40,1,tail,general_cross_domain,
technique,quality schemes,1,head,systemic_or_organizational_practice,
objective,identify signalling pathways,1,mid,methodological_knowledge,
technique,environmental principles,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
technique,extraction bioprocesses,1,mid,material_process_or_technology,
objective,support learning,1,tail,social_behavioral_educational,
objective,reduce soil concentrations,1,mid,environmental,
objective,incentive contract,1,mid,economic_business,
technique,conceptual considerations,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,biomass electricity generation,1,head,material_technical,
technique,electrocatalytic method,1,head,material_process_or_technology,
objective,glcce implementation,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,government intervention,2,head,governance_institutional,
objective,operating condition cultivate,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,valorize agro-industrial waste,6,head,material_technical,
objective,co 2 emission,1,tail,environmental,
objective,designing for closed-loop,1,tail,material_technical,
objective,broaden horizon,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,sustainable circular products,1,mid,material_technical,
technique,vosviewer google trends,1,tail,research_or_assessment_method,
objective,greenwashing of the internal market,1,tail,governance_institutional,
technique,environmental rehabilitation,1,mid,material_process_or_technology,
objective,disclose circular strategies,1,mid,governance_institutional,
objective,glucose-lowering ability,2,head,material_technical,
objective,reuse and remanufacturing,3,head,material_technical,
technique,injection process,1,mid,material_process_or_technology,
technique,gas chromatography-flame ionization detector,1,head,research_or_assessment_method,
technique,microbial-induced calcite precipitation,4,head,material_process_or_technology,
technique,bibliomagika,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,redesign,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,water consumption prediction,1,mid,methodological_knowledge,
technique,hydroponics-animal waste bioreactor,1,tail,material_process_or_technology,
objective,secure material access,1,mid,economic_business,
objective,improving its development,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
technique,creativity lens,1,mid,research_or_assessment_method,
technique,data-driven monitoring,1,tail,research_or_assessment_method,
technique,service-based business models,1,tail,systemic_or_organizational_practice,
objective,overcoming technical barriers,1,head,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,tyrosinase inhibition,1,tail,material_technical,
objective,maximize profit and sustainable resource use,1,tail,general_cross_domain,
objective,building energy-efficient application,1,tail,environmental,
objective,competency development,4,head,social_behavioral_educational,
objective,climate protection,4,head,environmental,
objective,loop closure,2,head,material_technical,
objective,waste behaviour study,1,tail,methodological_knowledge,
technique,technological choice,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,speeding reuse recovery recycling,1,head,material_technical,
objective,overcoming present issues,1,head,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,compliance with recycling levels,1,mid,governance_institutional,
technique,repair integration,1,mid,systemic_or_organizational_practice,
technique,non-thermal plasma deconstruction,1,mid,material_process_or_technology,
objective,technology ranking,1,mid,methodological_knowledge,
objective,sustainable realizing,1,tail,general_cross_domain,
objective,responsible practices,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,contaminant limitation,1,mid,environmental,
objective,improve sectoral sustainability,1,tail,general_cross_domain,
technique,system dynamics life-cycle thinking,1,tail,research_or_assessment_method,
technique,direct zinc leaching,3,head,material_process_or_technology,
technique,field experiment,13,head,research_or_assessment_method,
