kind,term,category
objective,reduction recovery and reuse,general_cross_domain
technique,melt blending injection molding,material_process_or_technology
objective,circular information disclosure,governance_institutional
objective,therapeutic value,social_behavioral_educational
objective,target policy instruments,governance_institutional
objective,inform sustainability trade-off literature,methodological_knowledge
objective,equilibrium between economic development and ecological protection,general_cross_domain
objective,address housing crisis,social_behavioral_educational
technique,regional development management,systemic_or_organizational_practice
objective,asset management,economic_business
objective,global sustainability goals,general_cross_domain
objective,reduce informational asymmetries,economic_business
objective,support implementation,governance_institutional
technique,zero-waste supply chain,systemic_or_organizational_practice
objective,waste-to-resource conversion,material_technical
technique,mine recycle economy modes,systemic_or_organizational_practice
objective,integrate ce and industry 40,general_cross_domain
technique,quality schemes,systemic_or_organizational_practice
objective,identify signalling pathways,methodological_knowledge
technique,environmental principles,ambiguous_context_required
technique,extraction bioprocesses,material_process_or_technology
objective,support learning,social_behavioral_educational
objective,reduce soil concentrations,environmental
objective,incentive contract,governance_institutional
technique,conceptual considerations,ambiguous_context_required
objective,biomass electricity generation,environmental
technique,electrocatalytic method,material_process_or_technology
objective,glcce implementation,ambiguous_context_required
objective,government intervention,governance_institutional
objective,operating condition cultivate,ambiguous_context_required
objective,valorize agro-industrial waste,material_technical
objective,co 2 emission,environmental
objective,designing for closed-loop,material_technical
objective,broaden horizon,ambiguous_context_required
objective,sustainable circular products,material_technical
technique,vosviewer google trends,research_or_assessment_method
objective,greenwashing of the internal market,governance_institutional
technique,environmental rehabilitation,material_process_or_technology
objective,disclose circular strategies,governance_institutional
objective,glucose-lowering ability,ambiguous_context_required
objective,reuse and remanufacturing,material_technical
technique,injection process,material_process_or_technology
technique,gas chromatography-flame ionization detector,research_or_assessment_method
technique,microbial-induced calcite precipitation,material_process_or_technology
technique,bibliomagika,ambiguous_context_required
objective,redesign,ambiguous_context_required
objective,water consumption prediction,environmental
technique,hydroponics-animal waste bioreactor,material_process_or_technology
objective,secure material access,economic_business
objective,improving its development,ambiguous_context_required
technique,creativity lens,research_or_assessment_method
technique,data-driven monitoring,research_or_assessment_method
technique,service-based business models,systemic_or_organizational_practice
objective,overcoming technical barriers,ambiguous_context_required
objective,tyrosinase inhibition,ambiguous_context_required
objective,maximize profit and sustainable resource use,general_cross_domain
objective,building energy-efficient application,environmental
objective,competency development,social_behavioral_educational
objective,climate protection,environmental
objective,loop closure,material_technical
objective,waste behaviour study,social_behavioral_educational
technique,technological choice,ambiguous_context_required
objective,speeding reuse recovery recycling,material_technical
objective,overcoming present issues,ambiguous_context_required
objective,compliance with recycling levels,governance_institutional
technique,repair integration,systemic_or_organizational_practice
technique,non-thermal plasma deconstruction,material_process_or_technology
objective,technology ranking,methodological_knowledge
objective,sustainable realizing,general_cross_domain
objective,responsible practices,social_behavioral_educational
objective,contaminant limitation,environmental
objective,improve sectoral sustainability,general_cross_domain
technique,system dynamics life-cycle thinking,research_or_assessment_method
technique,direct zinc leaching,material_process_or_technology
technique,field experiment,research_or_assessment_method
objective,phenolic removal cod removal,material_technical
technique,transglycosylation,material_process_or_technology
objective,redefine legal concept,governance_institutional
technique,phytocomplexes,ambiguous_context_required
objective,prioritize ce barriers,ambiguous_context_required
technique,coupled ced-ip,ambiguous_context_required
technique,industrialization,ambiguous_context_required
objective,raise economic welfare,economic_business
objective,economic effect,economic_business
technique,waste legislation,systemic_or_organizational_practice
objective,strengthening rules,governance_institutional
technique,solid-phase mixing,material_process_or_technology
technique,donation platform,systemic_or_organizational_practice
objective,environmental impact reduction material recovery,environmental
objective,material recovery emissions reduction,environmental
objective,measuring ce levels,methodological_knowledge
objective,optimization of marine industries structure,economic_business
objective,occurrence and fate,ambiguous_context_required
technique,outlook,ambiguous_context_required
objective,circular economy parks,general_cross_domain
technique,community-based circular food systems,systemic_or_organizational_practice
objective,analysis of typologies,methodological_knowledge
objective,measure formal and informal environmental management systems,environmental
objective,investment supply financing,economic_business
technique,sbm-dea model,research_or_assessment_method
objective,improve environment,environmental
objective,technical and environmental aspects,general_cross_domain
objective,business survivability,economic_business
objective,governance,governance_institutional
objective,prevention of post-harvest loss,material_technical
objective,regulate practice,governance_institutional
objective,greenized utilization,environmental
objective,sustainable use,general_cross_domain
objective,reusability after fire,material_technical
objective,profit margin optimization,economic_business
technique,bibliographic coupling,research_or_assessment_method
technique,consumer education,systemic_or_organizational_practice
objective,promote park development,environmental
objective,determine sustainability aspects,methodological_knowledge
technique,melting once,material_process_or_technology
objective,optimize asset performance,ambiguous_context_required
technique,descriptive statistics t-statistics multiple regression models,research_or_assessment_method
objective,critical element recovery,material_technical
technique,green tax,systemic_or_organizational_practice
technique,urban cadastre,ambiguous_context_required
technique,panel data estimation,research_or_assessment_method
objective,waste separation targets,material_technical
objective,barrier identification,methodological_knowledge
technique,collaborative approach,ambiguous_context_required
technique,scientific theories best practices,ambiguous_context_required
technique,policy actions,systemic_or_organizational_practice
technique,process integration,material_process_or_technology
technique,education for steady-state and circular economy,ambiguous_context_required
technique,waste hierarchy circular economy approach,systemic_or_organizational_practice
technique,entrepreneurial innovation analysis,research_or_assessment_method
objective,eco-innovative solutions,general_cross_domain
technique,contemporary sorting technologies,material_process_or_technology
technique,waste disposal and regeneration use,material_process_or_technology
objective,accelerate transition,ambiguous_context_required
objective,support decision-makers develop regional policies,governance_institutional
objective,develop multidimensional indicators,methodological_knowledge
objective,determine institutional framework,governance_institutional
objective,outline a framework,methodological_knowledge
objective,sustainable use ecosystems,environmental
objective,green entrepreneurship,economic_business
objective,efficiency promotion,ambiguous_context_required
technique,bending test,research_or_assessment_method
technique,formal legal,ambiguous_context_required
objective,enhance chilli growth,social_behavioral_educational
objective,barrier material fabrication,material_technical
objective,improve efficiency of labor,economic_business
objective,connotation discussion,methodological_knowledge
objective,enhance state capacities,governance_institutional
technique,microbial metabolism,material_process_or_technology
technique,green extraction and crosslinking,material_process_or_technology
objective,economic growth,economic_business
technique,aqueous extraction microfiltration nanofiltration,material_process_or_technology
technique,simplified approach,research_or_assessment_method
objective,occupational risk reduction,social_behavioral_educational
technique,mobile application,ambiguous_context_required
technique,chemical bleaching,material_process_or_technology
technique,food system analyses,research_or_assessment_method
objective,conceptual clarification,methodological_knowledge
objective,valuation transparency,economic_business
objective,predict concrete strength,material_technical
objective,security determinants,ambiguous_context_required
technique,electrocatalysis lignin depolymerization,material_process_or_technology
technique,health technology assessment,research_or_assessment_method
technique,big data iot,ambiguous_context_required
technique,computer art,ambiguous_context_required
objective,integrate csr and ce,general_cross_domain
objective,stable and effective development,general_cross_domain
objective,condition diagnosis,ambiguous_context_required
objective,antibacterial activity-enhanced agnps,material_technical
technique,dematel anp promethee ii,research_or_assessment_method
objective,new retail model,economic_business
technique,hegelian understanding,ambiguous_context_required
objective,evaluate bioeconomy status,general_cross_domain
technique,solar energy utilization wind power development straw electricity technology energy saving and green construction technology,ambiguous_context_required
objective,metabolic effect assessment,social_behavioral_educational
technique,database and survey,research_or_assessment_method
technique,oxidation of tcc,material_process_or_technology
technique,techno-economic analysis life cycle assessment,research_or_assessment_method
technique,waste-to-value,material_process_or_technology
technique,strategy formulation,ambiguous_context_required
objective,identify design skills,social_behavioral_educational
technique,bim model view definition,ambiguous_context_required
objective,technical and economical evaluation,ambiguous_context_required
technique,pinch point technology,ambiguous_context_required
technique,linear discriminant analysis,research_or_assessment_method
